cnpj,cgf,razaoSocial,regime,cadastro_dominio
26321825000100,65456548,CS EMBALAGENS LTDA,MICROEMPRESA,249
26628707000130,72806893,ENGMAN SERVICOS DE ENGENHARIA E MANUTENCAO LTDA,OUTROS,844
07873084000460,66114080,A L B COMERCIO DE CALCADOS LTDA,EPP,481
47241407000255,72116153,DROGARIA FARMA CEZAR LTDA,MICROEMPRESA,519
26321825000100,65456548,CS EMBALAGENS LTDA,MICROEMPRESA,249
12346125000157,64082490,MADEARTS MDF LTDA,MICROEMPRESA,117
45413982000181,70477280,A K G MORAES LTDA - ME,EPP,159
11805777000140,60348526,INBRASOL INDUSTRIA DE PRODUTOS OPTICOS LTDA - EPP,EPP,609
12981026000309,70393095,MERCANTIL SUPER CUMBUCO LTDA,NORMAL,158
23486871000162,66187150,FRANCISCO EVANILDO LIMA DA SILVA ME,NORMAL,21
01639337000106,69821313,SABOR DOCES e SALGADOS LTDA,NORMAL,40
17608115000247,67391869,COMERCIAL PRAIA E MAR LTDA,NORMAL,715
08571105000102,62054317,HENRIQUE SOUSA CAETANO LTDA,MICROEMPRESA,277
20207994000129,63327562,L W INDUSTRIA E COMERCIO DE GONDOLAS E CHECK OUTS LTDA,NORMAL,602
20951181000572,61250996,ADE COMERCIO DE CALCADOS LTDA,NORMAL,486
12395763000168,64100200,J. P. COMERCIO DE ALIMENTOS LTDA,NORMAL,510
12346125000157,64082490,MADEARTS MDF LTDA,MICROEMPRESA,117
45413982000181,70477280,A K G MORAES LTDA - ME,EPP,159
11805777000140,60348526,INBRASOL INDUSTRIA DE PRODUTOS OPTICOS LTDA - EPP,EPP,609
56703129000110,72080388,EFATA TRANPORTES DE VEICULOS PARA TODO O BRASIL GUINCHOS E CEGONHA LTDA - ME,MICROEMPRESA,507
45283110000146,70457409,ANNA B. H. CHAVES,MICROEMPRESA,597
56991842000107,72121505,GN SUBLIMAIS INDUSTRIA e COMERCIO DE CONFECCOES LTDA,MICROEMPRESA,758
44520218000142,70346518,ANTONIO MAURO DE SOUZA UCHOA LTDA,MICROEMPRESA,289
24736676000297,72806915,JULIANA DE FREITAS CASTRO RABELO ATIVIDADES DE ESTETICA,MICROEMPRESA,778
11805777000140,60348526,INBRASOL INDUSTRIA DE PRODUTOS OPTICOS LTDA - EPP,EPP,609
45283110000146,70457409,ANNA B. H. CHAVES,MICROEMPRESA,597
44520218000142,70346518,ANTONIO MAURO DE SOUZA UCHOA LTDA,MICROEMPRESA,289
24736676000297,72806915,JULIANA DE FREITAS CASTRO RABELO ATIVIDADES DE ESTETICA,MICROEMPRESA,778
07873084000389,65786459,A L B COMERCIO DE CALCADOS LTDA,EPP,480
07516056000142,61834092,FRANCISCO DAS CHAGAS DE ALMEIDA BARROSO,EPP,14
44222302000180,70290130,G M M NOGUEIRA COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO,MICROEMPRESA,796
43564705000144,71289640,JOSE NILSON MAIA JUNIOR,MICROEMPRESA,697
23549213000172,64727254,M E NOBRE DE LIMA BRILHANTE ME,NORMAL,182
24736676000297,72806915,JULIANA DE FREITAS CASTRO RABELO ATIVIDADES DE ESTETICA,MICROEMPRESA,778
07873084000389,65786459,A L B COMERCIO DE CALCADOS LTDA,EPP,480
07516056000142,61834092,FRANCISCO DAS CHAGAS DE ALMEIDA BARROSO,EPP,14
44222302000180,70290130,G M M NOGUEIRA COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO,MICROEMPRESA,796
43564705000144,71289640,JOSE NILSON MAIA JUNIOR,MICROEMPRESA,697
60170181000126,72511257,AR MERCADINHO LTDA,MICROEMPRESA,675
